Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
2120000;	5.00197e-01;	2.03012e-04;	8.32832e-02;	4.85653e-05;	4.55825e-07;	4.55825e-10
2130000;	5.00197e-01;	2.02059e-04;	8.32860e-02;	4.84181e-05;	4.54051e-07;	4.54051e-10
2140000;	5.00207e-01;	2.01347e-04;	8.32884e-02;	4.82499e-05;	4.52330e-07;	4.52330e-10
2150000;	5.00217e-01;	2.00658e-04;	8.32892e-02;	4.80331e-05;	4.50665e-07;	4.50665e-10
2160000;	5.00226e-01;	1.99913e-04;	8.32897e-02;	4.78120e-05;	4.49050e-07;	4.49050e-10
2170000;	5.00226e-01;	1.98991e-04;	8.32841e-02;	4.79128e-05;	4.47453e-07;	4.47453e-10
2180000;	5.00221e-01;	1.98154e-04;	8.32881e-02;	4.78610e-05;	4.45848e-07;	4.45848e-10
2190000;	5.00229e-01;	1.97414e-04;	8.32922e-02;	4.78171e-05;	4.44291e-07;	4.44291e-10
2200000;	5.00213e-01;	1.97148e-04;	8.32914e-02;	4.76069e-05;	4.42685e-07;	4.42685e-10
2210000;	5.00223e-01;	1.96482e-04;	8.32934e-02;	4.74329e-05;	4.41130e-07;	4.41130e-10
2220000;	5.00225e-01;	1.95609e-04;	8.32929e-02;	4.72210e-05;	4.39599e-07;	4.39599e-10
2230000;	5.00240e-01;	1.95319e-04;	8.32882e-02;	4.72441e-05;	4.38145e-07;	4.38145e-10
2240000;	5.00251e-01;	1.94722e-04;	8.32818e-02;	4.74622e-05;	4.36750e-07;	4.36750e-10
2250000;	5.00267e-01;	1.94543e-04;	8.32835e-02;	4.72792e-05;	4.35442e-07;	4.35442e-10
2260000;	5.00291e-01;	1.95151e-04;	8.32808e-02;	4.71442e-05;	4.34263e-07;	4.34263e-10
2270000;	5.00272e-01;	1.95201e-04;	8.32903e-02;	4.78959e-05;	4.33002e-07;	4.33002e-10
2280000;	5.00277e-01;	1.94412e-04;	8.32916e-02;	4.77018e-05;	4.31777e-07;	4.31777e-10
2290000;	5.00288e-01;	1.93841e-04;	8.32884e-02;	4.76040e-05;	4.30614e-07;	4.30614e-10
2300000;	5.00289e-01;	1.93003e-04;	8.32953e-02;	4.79098e-05;	4.29468e-07;	4.29468e-10
2310000;	5.00290e-01;	1.92170e-04;	8.32941e-02;	4.77170e-05;	4.28340e-07;	4.28340e-10
2320000;	5.00306e-01;	1.92004e-04;	8.33017e-02;	4.81151e-05;	4.27303e-07;	4.27303e-10
2330000;	5.00305e-01;	1.91183e-04;	8.32988e-02;	4.80012e-05;	4.26268e-07;	4.26268e-10
2340000;	5.00298e-01;	1.90484e-04;	8.32966e-02;	4.78445e-05;	4.25207e-07;	4.25207e-10
2350000;	5.00290e-01;	1.89838e-04;	8.33007e-02;	4.78133e-05;	4.24115e-07;	4.24115e-10
2360000;	5.00283e-01;	1.89186e-04;	8.32962e-02;	4.78183e-05;	4.22995e-07;	4.22995e-10
2370000;	5.00278e-01;	1.88449e-04;	8.32947e-02;	4.76400e-05;	4.21862e-07;	4.21862e-10
