Numero_Lanci;Valore_Integrale
154699;0.998542
154799;0.99854
154899;0.998578
154999;0.998625
155099;0.998648
155199;0.998648
155299;0.998662
155399;0.998677
155499;0.998669
155599;0.998646
155699;0.998662
155799;0.998707
155899;0.99869
155999;0.998756
156099;0.998782
156199;0.998779
156299;0.99878
156399;0.998771
156499;0.998786
156599;0.998789
156699;0.998822
156799;0.998809
156899;0.998758
156999;0.998765
157099;0.998769
157199;0.998754
157299;0.998755
157399;0.998753
157499;0.998715
157599;0.998718
157699;0.99873
157799;0.998726
157899;0.998709
157999;0.998738
158099;0.998756
158199;0.998733
158299;0.998704
158399;0.998718
158499;0.998717
158599;0.998723
158699;0.998715
158799;0.998716
158899;0.998741
158999;0.998757
159099;0.998746
159199;0.998764
159299;0.99877
159399;0.998715
159499;0.998719
159599;0.998748
159699;0.998742
159799;0.99878
159899;0.998747
159999;0.998732
160099;0.998722
160199;0.998696
160299;0.998673
160399;0.998643
160499;0.998651
160599;0.998666
160699;0.998618
160799;0.998602
160899;0.998568
160999;0.998572
161099;0.998522
161199;0.998537
161299;0.998523
161399;0.998535
161499;0.998527
161599;0.998502
161699;0.998484
161799;0.998446
161899;0.998447
161999;0.998478
162099;0.998508
162199;0.998503
162299;0.998569
162399;0.998591
162499;0.998583
162599;0.998592
162699;0.998598
162799;0.998516
162899;0.998536
162999;0.998562
163099;0.998644
163199;0.99865
163299;0.998643
163399;0.998623
163499;0.998615
163599;0.998619
163699;0.998617
163799;0.998625
163899;0.998646
163999;0.998702
164099;0.998741
164199;0.99877
164299;0.998719
164399;0.998701
164499;0.998695
164599;0.998686
164699;0.998705
164799;0.998705
164899;0.998708
164999;0.998704
165099;0.998691
165199;0.998641
165299;0.998665
165399;0.998699
165499;0.998737
165599;0.998778
165699;0.998795
165799;0.998807
165899;0.998842
165999;0.998843
166099;0.998835
166199;0.998832
166299;0.998834
166399;0.998845
166499;0.998858
166599;0.998818
166699;0.998826
166799;0.998837
166899;0.998853
166999;0.998833
167099;0.998804
167199;0.998762
167299;0.998791
167399;0.998801
167499;0.998817
167599;0.99881
167699;0.9988
167799;0.998824
167899;0.998837
167999;0.998879
168099;0.998865
168199;0.998873
168299;0.99884
168399;0.998857
168499;0.99887
168599;0.998833
168699;0.998828
168799;0.998768
168899;0.998734
168999;0.998755
169099;0.99873
169199;0.998711
169299;0.998701
169399;0.998712
169499;0.998707
169599;0.998667
169699;0.998656
169799;0.998641
169899;0.9986
169999;0.998582
170099;0.998596
170199;0.998615
170299;0.998636
170399;0.998649
170499;0.998669
170599;0.998703
170699;0.998711
170799;0.998729
170899;0.998732
170999;0.998685
171099;0.998709
171199;0.998682
171299;0.998657
171399;0.998717
171499;0.998734
171599;0.998732
171699;0.99875
171799;0.998748
171899;0.998717
171999;0.998711
172099;0.998702
172199;0.998647
172299;0.998628
172399;0.998665
172499;0.998631
172599;0.998658
172699;0.998673
172799;0.998729
172899;0.99879
172999;0.998787
173099;0.99874
173199;0.998754
173299;0.998726
173399;0.998739
173499;0.998814
173599;0.998852
173699;0.998853
173799;0.998868
